TicketID,Level1_Minutes,Level2_Minutes,Level3_Minutes,Closed_Level
TKT0446,20,91,0,2
TKT0199,106,0,0,1
TKT0379,91,0,0,1
TKT0094,115,39,39,3
TKT0283,82,6,62,3
TKT0200,102,15,0,2
TKT0419,109,0,0,1
TKT0209,66,0,0,1
TKT0500,20,104,75,3
TKT0212,104,119,0,2
TKT0374,35,29,22,3
TKT0319,70,83,0,2
TKT0232,105,0,0,1
TKT0484,59,96,0,2
TKT0031,107,51,0,2
TKT0109,100,0,0,1
TKT0339,54,102,0,2
TKT0065,112,0,0,1
TKT0322,89,55,0,2
TKT0182,28,0,0,1
TKT0453,70,0,0,1
TKT0226,32,0,0,1
TKT0318,94,119,0,2
TKT0348,11,59,83,3
TKT0264,95,71,51,3
TKT0457,22,0,0,1
TKT0069,14,0,0,1
TKT0135,101,0,0,1
TKT0111,25,15,0,2
TKT0178,98,0,0,1
TKT0125,21,0,0,1
TKT0228,99,0,0,1
TKT0490,23,0,0,1
TKT0257,23,19,0,2
TKT0183,51,0,0,1
TKT0149,44,116,41,3
TKT0356,71,98,0,2
TKT0302,81,0,0,1
TKT0126,116,0,0,1
TKT0119,119,0,0,1
TKT0011,42,46,0,2
TKT0233,87,0,0,1
TKT0104,114,22,102,3
TKT0455,5,0,0,1
TKT0320,26,0,0,1
TKT0259,57,0,0,1
TKT0118,5,111,0,2
TKT0026,22,0,0,1
TKT0102,78,0,0,1
TKT0246,83,90,0,2
TKT0229,10,55,0,2
TKT0381,77,22,0,2
TKT0482,73,102,0,2
TKT0164,98,0,0,1
TKT0471,108,0,0,1
TKT0357,6,0,0,1
TKT0292,110,97,67,3
TKT0236,5,0,0,1
TKT0360,100,0,0,1
TKT0060,54,30,0,2
TKT0218,46,0,0,1
TKT0238,92,68,0,2
TKT0295,63,68,22,3
TKT0270,109,23,44,3
TKT0478,51,62,0,2
TKT0003,71,95,0,2
TKT0445,8,0,0,1
TKT0366,64,0,0,1
TKT0187,10,0,0,1
TKT0267,5,0,0,1
TKT0461,108,79,87,3
TKT0105,67,87,79,3
TKT0384,112,0,0,1
TKT0205,110,0,0,1
TKT0050,74,91,0,2
TKT0020,78,0,0,1
TKT0389,57,38,0,2
TKT0166,57,12,0,2
TKT0371,81,116,46,3
TKT0398,49,59,85,3
TKT0386,85,0,0,1
TKT0225,53,38,0,2
TKT0248,58,33,0,2
TKT0057,91,0,0,1
TKT0035,98,0,0,1
TKT0456,69,35,53,3
TKT0021,96,86,0,2
TKT0334,110,0,0,1
TKT0117,66,0,0,1
TKT0391,23,92,118,3
TKT0214,40,23,0,2
TKT0423,87,28,0,2
TKT0380,106,98,45,3
TKT0291,68,0,0,1
TKT0274,95,0,0,1
TKT0350,105,0,0,1
TKT0293,88,0,0,1
TKT0133,49,98,0,2
TKT0432,11,57,0,2
TKT0083,97,0,0,1
TKT0483,38,120,113,3
TKT0421,57,54,0,2
TKT0029,51,79,0,2
TKT0048,108,0,0,1
TKT0358,117,96,0,2
TKT0496,97,12,0,2
TKT0324,120,0,0,1
TKT0197,83,0,0,1
TKT0364,29,0,0,1
TKT0222,95,102,0,2
TKT0086,115,20,0,2
TKT0139,12,42,0,2
TKT0407,30,0,0,1
TKT0093,76,24,49,3
TKT0054,38,22,0,2
TKT0193,86,117,0,2
TKT0001,73,65,0,2
TKT0297,114,12,8,3
TKT0415,12,0,0,1
TKT0390,33,0,0,1
TKT0099,8,46,107,3
TKT0437,65,0,0,1
TKT0414,82,71,119,3
TKT0265,104,0,0,1
TKT0429,49,49,24,3
TKT0312,13,0,0,1
TKT0400,17,119,119,3
TKT0434,52,64,38,3
TKT0485,41,0,0,1
TKT0084,58,48,0,2
TKT0472,81,0,0,1
TKT0080,104,0,0,1
TKT0188,69,0,0,1
TKT0288,109,0,0,1
TKT0277,34,5,111,3
TKT0452,117,59,0,2
TKT0202,107,109,32,3
TKT0338,81,12,0,2
TKT0450,118,0,0,1
TKT0085,28,0,0,1
TKT0087,97,0,0,1
TKT0107,106,0,0,1
TKT0176,94,0,0,1
TKT0075,58,47,0,2
TKT0120,81,0,0,1
TKT0422,33,0,0,1
TKT0194,94,0,0,1
TKT0310,9,36,0,2
TKT0217,67,0,0,1
TKT0363,89,74,0,2
TKT0010,84,108,0,2
TKT0493,53,0,0,1
TKT0439,109,120,0,2
TKT0271,48,34,0,2
TKT0428,115,0,0,1
TKT0076,9,11,120,3
TKT0474,41,0,0,1
TKT0335,46,39,0,2
TKT0330,70,83,0,2
TKT0223,52,56,0,2
TKT0063,70,114,0,2
TKT0396,62,0,0,1
TKT0224,103,0,0,1
TKT0375,39,77,0,2
TKT0410,104,103,0,2
TKT0397,98,71,0,2
TKT0406,11,0,0,1
TKT0009,60,63,0,2
TKT0365,49,0,0,1
TKT0451,56,91,89,3
TKT0242,93,54,0,2
TKT0276,16,42,0,2
TKT0040,69,0,0,1
TKT0042,95,115,64,3
TKT0479,61,15,45,3
TKT0411,12,62,0,2
TKT0168,27,0,0,1
TKT0294,35,59,0,2
TKT0144,34,0,0,1
TKT0017,92,106,0,2
TKT0299,115,62,8,3
TKT0064,26,0,0,1
TKT0333,62,87,0,2
TKT0037,25,115,0,2
TKT0378,53,53,33,3
TKT0023,19,82,0,2
TKT0014,119,31,37,3
TKT0114,95,75,80,3
TKT0124,25,31,8,3
TKT0337,101,0,0,1
TKT0025,42,111,0,2
TKT0091,12,0,0,1
TKT0110,111,115,0,2
TKT0108,37,0,0,1
TKT0070,15,73,0,2
TKT0030,53,81,20,3
TKT0486,85,81,0,2
TKT0006,39,114,23,3
TKT0448,13,103,0,2
TKT0101,37,77,0,2
TKT0426,64,0,0,1
TKT0177,99,39,110,3
TKT0128,6,0,0,1
TKT0072,114,88,106,3
TKT0351,25,95,0,2
TKT0298,42,0,0,1
TKT0341,15,60,16,3
TKT0342,79,0,0,1
TKT0349,39,16,0,2
TKT0430,37,0,0,1
TKT0468,76,0,0,1
TKT0174,26,75,0,2
TKT0402,66,0,0,1
TKT0100,100,50,6,3
TKT0454,106,5,0,2
TKT0262,7,81,62,3
TKT0170,91,0,0,1
TKT0372,90,71,9,3
TKT0216,22,70,0,2
TKT0385,28,76,42,3
TKT0055,48,108,0,2
TKT0079,18,91,0,2
TKT0191,38,94,120,3
TKT0317,98,66,65,3
TKT0015,6,0,0,1
TKT0012,100,63,55,3
TKT0241,119,0,0,1
TKT0440,112,71,0,2
TKT0220,100,0,0,1
TKT0387,111,0,0,1
TKT0201,67,0,0,1
TKT0395,17,0,0,1
TKT0361,20,0,0,1
TKT0127,92,26,0,2
TKT0088,115,102,0,2
TKT0377,30,35,0,2
TKT0231,86,0,0,1
TKT0239,77,75,5,3
TKT0056,116,16,101,3
TKT0071,120,0,0,1
TKT0394,62,0,0,1
TKT0303,13,0,0,1
TKT0424,85,0,0,1
TKT0489,110,14,0,2
TKT0173,59,106,67,3
TKT0447,12,112,0,2
TKT0132,32,57,0,2
TKT0255,93,96,0,2
TKT0243,98,53,0,2
TKT0162,17,101,0,2
TKT0256,81,46,0,2
TKT0131,17,0,0,1
TKT0189,25,23,13,3
TKT0074,62,112,0,2
TKT0362,107,0,0,1
TKT0247,117,45,0,2
TKT0296,68,87,0,2
TKT0044,5,85,0,2
TKT0301,13,0,0,1
TKT0340,96,103,0,2
TKT0145,86,13,35,3
TKT0287,59,55,96,3
TKT0413,9,89,0,2
